id,title,description,publishedAt,channelId,channelTitle,tags,categoryId,duration,durationSeconds,viewCount,commentCount,definicion,idioma_audio
AtwmcsXQS8g,El experimento que salió terriblemente mal” Parte 1 #curiosidades #viral,El experimento que salió terriblemente mal” Parte 1  #curiosidades #viral #datoscurisos,2026-03-02T22:24:15Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|viral|mk-ultra|experimento|video|viralshort|documental|documento,24,PT1M10S,70,43,0,hd,es
WSng_Y7L414,confiarias en un hombre que parecía perfecto? pero era uno de los peores as3sino 😱 #curiosidades,confiarias en un hombre que parecía perfecto? pero era uno de los peores as3sino 😱 #curiosidades #viral #datospertubadores,2026-03-02T20:58:48Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,viral|curiosidades,24,PT1M5S,65,11,0,hd,es
E6tJGP8tmJY,“El evento que desapareció de los registros… pero alguien lo recuerda” #viral #curiosidades,"Nadie logró explicar lo que ocurrió esa noche.
#datoscurisos #viral #curiosidades",2026-02-19T20:59:34Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|viral|Creepypasta|truecrime|shorts,24,PT1M30S,90,3065,0,hd,es
MMk9yUK1FV8,Estas mujeres aparecen en fotos desde hace más de 100 años… y nunca cambian 😱#curiosidades #viral,Nadie ha podido explicarlo… y cada nueva imagen es más inquietante. #datoscurisos #viral #datospertubadores #curiosidades #datospertubadores,2026-02-17T20:18:40Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,viral|curiosidades|shorts|Creepypasta|video viral,24,PT1M20S,80,1572,3,hd,es
xn-u0YXXITU,Si ves una luz en el bosque… no la sigas.Porque algunas luces… aprenden de ti #curiosidades  #viral,"Imagina que estás solo… y algo empieza a subir por la escalera.
¿Qué harías tú? 😨👇
#historia #datoscurisos #viral #curiosidades",2026-02-13T20:47:47Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|viral|Creepypasta|documental|documental real,24,PT1M58S,118,2378,0,hd,es
HZ1MLaprXlg,El pueblo lo encadenó… pero nadie estaba preparado para lo que hizo después #viral #curiosidades,"Este “monstruo” no nació malo…
lo hicieron así.
Lo encerraron.
Lo usaron.
Ganaron dinero con él.
Y cuando se cansó…
todos desaparecieron.
⚠️ Responde sin pensarlo mucho:
Si estuvieras en ese pueblo…
¿lo habrías ayudado… o también habrías pagado por verlo?
💬 No mientas. Te leo en comentarios.
#Shorts #Creepypasta #Terror #HistoriasPerturbadoras #Misterio #Debate #datoscurisos #viral #datoscurisos #curiosidades #datospertubadores",2026-02-13T16:18:52Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|viral|documental|historias|historia|shorts|Creepypasta|terror|horror|cuentos|HistoriasDeTerror|historias reales,24,PT1M47S,107,1440,0,hd,es
5KMnGmKdB68,El monstruo no destruyó el pueblo…El pueblo lo creó.#viral #curiosidades,"En 1889, un pequeño pueblo decidió convertir a un niño diferente en su mayor atracción.
Lo encadenaron.
Lo exhibieron.
Y lo llamaron monstruo.
Pero nadie se preguntó qué pasaría cuando dejara de soportarlo.
Esta creepypasta oscura te contará la historia de Black Hollow, un lugar que prosperó explotando algo que nunca debió crecer… y que terminó pagando el precio.
Porque a veces el verdadero horror no es lo que nace diferente…
sino lo que la gente hace con ello.
⚠️ ¿Qué harías tú si en tu ciudad naciera alguien así?
¿Lo protegerías… o lo convertirías en espectáculo?
Déjame tu opinión en los comentarios.
#viral #curiosidades #datospertubadores #datoscurisos #historia",2026-02-12T21:17:45Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,,24,PT1M48S,108,2070,0,hd,es
9ywP9RIQlvo,El Negativo 1847: La Foto Que Cambiaba Sola… Y Terminó Con Mi Nombre#curiosidades #viral,"Un negativo forense de 1952 comenzó a cambiar cada vez que lo digitalizaban. Lo borraban… y reaparecía distinto. Veintidós días después, el cadáver ya no estaba acostado. Estaba sentado. Y lo que apareció décadas más tarde es aún peor.
¿Tú qué harías si vieras tu nombre en una foto tomada antes de que nacieras? #historia #datoscurisos #viral #datospertubadores #curiosidades",2026-02-12T16:13:16Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,"historia aterradora, relato viral, canal de misterio, curiosidades oscuras, historias para no dormir, suspenso narrado, contenido perturbador, historia impactante|curiosidades|viral|documental|documentales|Creepypasta",24,PT2M32S,152,7709,0,hd,es
ivYrL6ewu4s,Este mago no hizo desaparecer un conejo…hizo desaparecer a 1500 personas. #viral #curiosidades,"Este mago no hizo desaparecer un conejo…
hizo desaparecer a 1500 personas.
Y lo más inquietante… es que quizás el truco todavía no terminó.
A finales del siglo XIX, en Nueva York, existía un ilusionista conocido como El Gran Zapi.
No era un mago común.
Desaparecía caballos.
Carruajes completos.
Incluso una vez… un elefante frente a miles de testigos.
Pero todo eso era solo preparación. #viral #historia #curiosidades #shorts",2026-02-11T17:01:39Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|viral|shorts|casos|casosreales|documental|documentales|curioso|viralshort,24,PT2M9S,129,1722,2,hd,es
OlsqxaLxiTk,Nunca respondas a una voz que no sabes de dónde viene. #viral #curiosidades #historia,"Nunca respondas a una voz que no sabes de dónde viene.
Porque esta fue la única vez en la historia que un humano respondió a algo que habló desde las profundidades del océano…
y lo que respondió jamás fue humano. #viral #historia #curiosidades",2026-02-11T12:03:01Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|casos|viral|documental|documentales|historias|shorts|curioso,24,PT1M35S,95,2748,1,hd,es
DBEZT7mHEws,esta niña asegura que fue amiga de Cleopatra en la vida real 😱#historia #curiosidades,esta niña asegura que fue amiga de Cleopatra en la vida real 😱#historia #curiosidades,2026-02-10T16:18:25Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|viral|Creepypasta|casos|casosreales|documental|documentales|shorts,24,PT2M1S,121,5659,13,hd,es
rY4weLEHvFk,está es la prueba de que los muertos jamás deberían regresar #curiosidades #viral #datoscurisos,está es la prueba de que los muertos jamás deberían regresar #curiosidades #viral #datoscurisos,2026-02-09T20:41:53Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,curiosidades|viral|casos|casosreales|Creepypasta|reencarnación|documental,24,PT1M53S,113,2285,3,hd,es
gNbNH0SONXE,este par de gemelos eran pura maldad 😱#curiosidades #viral #viralvideo,este par de gemelos eran pura maldad 😱#curiosidades #viral #viralvideo,2026-02-09T10:41:02Z,UCaVnwd_AO4urlqVJ3VrKHLg,CURIOSIDADES IA ,horror|curiosidades|viral|Creepypasta|casosreales|casos|historias|terror|IA,24,PT1M31S,91,46887,3,hd,es
